leader_controller,follow_controller,scenario,topology,speed,headway,leader_merged_time,full_merged_time,jerk_rms,jerk_max,jerk_min,min_gap_p2veh1,avg_gap_spacing_p2_others,crash,max_timestamp
hinf,pid,brake,1,20,0.9,28.5,28.5,13.351274905041334,187.2401,-273.1818,14.0,19.240766872586875,False,100.1
hinf,consensus,brake,1,20,0.9,28.4,28.4,6.287581301806558,47.8115,-179.598,14.0,19.574580590062112,False,100.1
hinf,hinf,brake,1,20,0.9,28.2,28.2,11.027978997227764,135.2669,-176.7979,14.0,18.93220667189953,False,100.1
hinf,cacc,brake,1,20,0.9,27.5,27.5,3.0000724214687122,32.3604,-89.8868,14.0,16.889063836734692,False,100.1
cacc,dmpc,brake,1,20,0.9,33.0,33.0,0.7697578670679783,4.5,-23.0,13.7564,18.521329813664597,False,100.1
cacc,pid,brake,1,20,0.9,31.8,31.8,2.3317564673842064,23.1818,-50.1568,14.0,19.339265006553077,False,100.1
cacc,consensus,brake,1,20,0.9,31.8,31.8,1.3944826494577698,23.1818,-19.3677,14.0,19.621068545216254,False,100.1
cacc,hinf,brake,1,20,0.9,31.7,31.7,1.155762604978557,23.1818,-12.8125,14.0,18.977909809084924,False,100.1
cacc,cacc,brake,1,20,0.9,31.6,31.6,0.461717957828173,6.8624,-6.1762,14.0,16.708487235449734,False,100.1
dmpc,dmpc,none,1,20,0.9,60.2,60.2,2.7614078847530106,127.5,-11.0,21.793,25.03060216277746,False,100.1
dmpc,pid,none,1,20,0.9,60.1,60.1,1.0924523054237876,23.1818,-28.3319,22.0009,25.014618733960653,False,100.1
dmpc,consensus,none,1,20,0.9,60.2,60.2,0.7724588946260843,23.1818,-13.352,22.0009,24.851640153671028,False,100.1
dmpc,hinf,none,1,20,0.9,60.2,60.2,0.7215702868722578,23.1818,-8.4763,22.0009,25.02489408081958,False,100.1
dmpc,cacc,none,1,20,0.9,60.1,60.1,0.49986344940283656,23.1818,-4.2122,22.0008,25.18662725976618,False,100.1
pid,dmpc,none,1,20,0.9,60.2,60.2,2.7614078847530106,127.5,-11.0,21.793,25.03060216277746,False,100.1
pid,pid,none,1,20,0.9,60.1,60.1,1.0924523054237876,23.1818,-28.3319,22.0009,25.014618733960653,False,100.1
pid,consensus,none,1,20,0.9,60.2,60.2,0.7724588946260843,23.1818,-13.352,22.0009,24.851640153671028,False,100.1
pid,hinf,none,1,20,0.9,60.2,60.2,0.7215702868722578,23.1818,-8.4763,22.0009,25.02489408081958,False,100.1
pid,cacc,none,1,20,0.9,60.1,60.1,0.49986344940283656,23.1818,-4.2122,22.0008,25.18662725976618,False,100.1
consensus,dmpc,none,1,20,0.9,60.2,60.2,2.7614078847530106,127.5,-11.0,21.793,25.03060216277746,False,100.1
consensus,pid,none,1,20,0.9,60.1,60.1,1.0924523054237876,23.1818,-28.3319,22.0009,25.014618733960653,False,100.1
consensus,consensus,none,1,20,0.9,60.2,60.2,0.7724588946260843,23.1818,-13.352,22.0009,24.851640153671028,False,100.1
consensus,hinf,none,1,20,0.9,60.2,60.2,0.7215702868722578,23.1818,-8.4763,22.0009,25.02489408081958,False,100.1
consensus,cacc,none,1,20,0.9,60.1,60.1,0.49986344940283656,23.1818,-4.2122,22.0008,25.18662725976618,False,100.1
hinf,dmpc,none,1,20,0.9,60.2,60.2,2.7614078847530106,127.5,-11.0,21.793,25.03060216277746,False,100.1
hinf,pid,none,1,20,0.9,60.1,60.1,1.0924523054237876,23.1818,-28.3319,22.0009,25.014618733960653,False,100.1
hinf,consensus,none,1,20,0.9,60.2,60.2,0.7724588946260843,23.1818,-13.352,22.0009,24.851640153671028,False,100.1
hinf,hinf,none,1,20,0.9,60.2,60.2,0.7215702868722578,23.1818,-8.4763,22.0009,25.02489408081958,False,100.1
hinf,cacc,none,1,20,0.9,60.1,60.1,0.49986344940283656,23.1818,-4.2122,22.0008,25.18662725976618,False,100.1
cacc,dmpc,none,1,20,0.9,60.2,60.2,2.7614078847530106,127.5,-11.0,21.793,25.03060216277746,False,100.1
cacc,pid,none,1,20,0.9,60.1,60.1,1.0924523054237876,23.1818,-28.3319,22.0009,25.014618733960653,False,100.1
cacc,consensus,none,1,20,0.9,60.2,60.2,0.7724588946260843,23.1818,-13.352,22.0009,24.851640153671028,False,100.1
cacc,hinf,none,1,20,0.9,60.2,60.2,0.7215702868722578,23.1818,-8.4763,22.0009,25.02489408081958,False,100.1
cacc,cacc,none,1,20,0.9,60.1,60.1,0.49986344940283656,23.1818,-4.2122,22.0008,25.18662725976618,False,100.1
