leader_controller,follow_controller,scenario,topology,speed,headway,leader_merged_time,full_merged_time,jerk_rms,jerk_max,jerk_min,min_gap_p2veh1,avg_gap_spacing_p2_others,crash,max_timestamp
hinf,pid,brake,1,20,0.9,28.1,28.1,3.0150744310180353,4.0,-71.5,14.0,19.406085477505922,False,100.1
hinf,consensus,brake,1,20,0.9,28.1,28.1,2.5495086194485137,4.0,-71.5,14.0,19.688130228887136,False,100.1
hinf,hinf,brake,1,20,0.9,28.1,28.1,3.059810324901128,22.2282,-71.5,14.0,18.99264317284925,False,100.1
hinf,cacc,brake,1,20,0.9,28.1,28.1,2.2238846068875473,8.7511,-71.5,14.0,16.5612909234412,False,100.1
cacc,dmpc,brake,1,20,0.9,33.0,33.0,0.7697578670679783,4.5,-23.0,13.7564,18.521329813664597,False,100.1
cacc,pid,brake,1,20,0.9,33.0,33.0,0.9142471539082568,4.5,-23.0,14.0,18.97676291925466,False,100.1
cacc,consensus,brake,1,20,0.9,33.0,33.0,0.7915529116113683,4.5,-23.0,14.0,19.28398900621118,False,100.1
cacc,hinf,brake,1,20,0.9,33.0,33.0,0.9054999219383923,5.531,-23.0,14.0,18.5865399378882,False,100.1
cacc,cacc,brake,1,20,0.9,33.0,33.0,0.7130529112479175,6.2551,-23.0,14.0,16.142993540372668,False,100.1
dmpc,dmpc,none,1,20,0.9,60.1,60.1,0.5928189482289188,23.1818,-4.2122,21.7869,25.00846401482749,False,100.1
dmpc,pid,none,1,20,0.9,60.1,60.1,0.6660082593159381,23.1818,-4.2122,22.0009,25.012650784145993,False,100.1
dmpc,consensus,none,1,20,0.9,60.1,60.1,0.5990102579436821,23.1818,-4.2122,22.0009,24.85265528942116,False,100.1
dmpc,hinf,none,1,20,0.9,60.1,60.1,0.6591525602995872,23.1818,-6.2885,22.0009,25.028399401197603,False,100.1
dmpc,cacc,none,1,20,0.9,60.1,60.1,0.49986344940283656,23.1818,-4.2122,22.0008,25.18662725976618,False,100.1
pid,dmpc,none,1,20,0.9,60.1,60.1,0.5928189482289188,23.1818,-4.2122,21.7869,25.00846401482749,False,100.1
pid,pid,none,1,20,0.9,60.1,60.1,0.6660082593159381,23.1818,-4.2122,22.0009,25.012650784145993,False,100.1
pid,consensus,none,1,20,0.9,60.1,60.1,0.5990102579436821,23.1818,-4.2122,22.0009,24.85265528942116,False,100.1
pid,hinf,none,1,20,0.9,60.1,60.1,0.6591525602995872,23.1818,-6.2885,22.0009,25.028399401197603,False,100.1
pid,cacc,none,1,20,0.9,60.1,60.1,0.49986344940283656,23.1818,-4.2122,22.0008,25.18662725976618,False,100.1
consensus,dmpc,none,1,20,0.9,60.1,60.1,0.5928189482289188,23.1818,-4.2122,21.7869,25.00846401482749,False,100.1
consensus,pid,none,1,20,0.9,60.1,60.1,0.6660082593159381,23.1818,-4.2122,22.0009,25.012650784145993,False,100.1
consensus,consensus,none,1,20,0.9,60.1,60.1,0.5990102579436821,23.1818,-4.2122,22.0009,24.85265528942116,False,100.1
consensus,hinf,none,1,20,0.9,60.1,60.1,0.6591525602995872,23.1818,-6.2885,22.0009,25.028399401197603,False,100.1
consensus,cacc,none,1,20,0.9,60.1,60.1,0.49986344940283656,23.1818,-4.2122,22.0008,25.18662725976618,False,100.1
hinf,dmpc,none,1,20,0.9,60.1,60.1,0.5928189482289188,23.1818,-4.2122,21.7869,25.00846401482749,False,100.1
hinf,pid,none,1,20,0.9,60.1,60.1,0.6660082593159381,23.1818,-4.2122,22.0009,25.012650784145993,False,100.1
hinf,consensus,none,1,20,0.9,60.1,60.1,0.5990102579436821,23.1818,-4.2122,22.0009,24.85265528942116,False,100.1
hinf,hinf,none,1,20,0.9,60.1,60.1,0.6591525602995872,23.1818,-6.2885,22.0009,25.028399401197603,False,100.1
hinf,cacc,none,1,20,0.9,60.1,60.1,0.49986344940283656,23.1818,-4.2122,22.0008,25.18662725976618,False,100.1
cacc,dmpc,none,1,20,0.9,60.1,60.1,0.5928189482289188,23.1818,-4.2122,21.7869,25.00846401482749,False,100.1
cacc,pid,none,1,20,0.9,60.1,60.1,0.6660082593159381,23.1818,-4.2122,22.0009,25.012650784145993,False,100.1
cacc,consensus,none,1,20,0.9,60.1,60.1,0.5990102579436821,23.1818,-4.2122,22.0009,24.85265528942116,False,100.1
cacc,hinf,none,1,20,0.9,60.1,60.1,0.6591525602995872,23.1818,-6.2885,22.0009,25.028399401197603,False,100.1
cacc,cacc,none,1,20,0.9,60.1,60.1,0.49986344940283656,23.1818,-4.2122,22.0008,25.18662725976618,False,100.1
