leader_controller,cacc,consensus,dmpc,hinf,pid
cacc,14.0,14.0,13.7564,14.0,14.0
consensus,13.9747,13.9992,13.7567,13.9986,14.0
dmpc,13.9995,13.9999,13.7702,13.9998,14.0
hinf,14.0,14.0,13.7548,14.0,14.0
pid,13.9955,14.0,13.7551,14.0,14.0
