leader_controller,cacc,consensus,dmpc,hinf,pid
cacc,60.4,61.1,60.9,61.0,61.0
consensus,60.1,59.0,60.2,59.1,58.6
dmpc,60.2,59.4,59.6,59.4,59.0
hinf,60.2,59.4,59.6,59.4,58.9
pid,60.1,59.2,59.6,59.2,58.7
