leader_controller,cacc,consensus,dmpc,hinf,pid
cacc,22.2151,22.3461,22.2363,22.3382,22.3834
consensus,22.1848,22.3274,22.2168,22.3189,22.3627
dmpc,22.2443,22.364,22.3065,22.3569,22.3961
hinf,22.2521,22.3691,22.2914,22.3621,22.398
pid,22.2273,22.3539,22.2355,22.3463,22.3852
