leader_controller,cacc,consensus,dmpc,hinf,pid
cacc,0.461717957828173,1.3944826494577698,0.7697578670679783,1.155762604978557,2.3317564673842064
consensus,3.600691966491118,8.075726609213122,2.8834671023128533,13.81148287468293,13.496684092698084
dmpc,2.8741071439764,5.833124253118439,2.4249257608537573,10.31663582340206,12.764364730188523
hinf,3.000072421468712,6.287581301806558,2.498480201025641,11.027978997227764,13.351274905041334
pid,3.3153471714261444,7.280479106694528,2.692953498765181,12.531363764925386,13.749921980276111
